strongs_id,definition,short_def,etymology
H779,"1) to curse
1a) (Qal)
1a1) to curse
1a2) cursed be he (participle used as in curses)
1b) (Niphal) to be cursed, cursed
1c)(Piel) to curse, lay under a curse, put a curse on
1d) (Hophal) to be made a curse, be cursed",to execrate,a primitive root;
H780,"Ararat = ""the curse reversed: precipitation of curse""
1) a mountainous region of eastern Armenia, between the river Araxes and the lakes Van and Oroomiah, the site where Noah's ark came to rest
2) (TWOT) the mountain where Noah's ark came to rest",Ararat (or rather Armenia),of foreign origin;
H781,"1) to betroth, engage
1a) (Piel) to betroth (man or woman)
1b) (Pual) to be betrothed",to engage for matrimony,a primitive root;
H782,"1) desire, request",a longing for,from (in the sense of desiring to possess);
H783,"Artaxerxes = ""I will make the spoiled to boil: I will stir myself (in) winter""
1) son and successor of Xerxes as emperor of Persia, 465-424 BC","Artachshasta (or Artaxerxes), a title (rather than name) of several Persian kings",or ; or by permutation ; of foreign origin;
H784,"1) fire
1a) fire, flames
1b) supernatural fire (accompanying theophany)
1c) fire (for cooking, roasting, parching)
1d) altar-fire
1e) God's anger (fig.)",fire (literally or figuratively),a primitive word;
H785,1) fire,{fire (literally or figuratively)},(Aramaic) corresponding to
H786,"1) there is, there are","entity, used only adverbially, there is or are",identical (in origin and formation) with ;
H787,1) foundation,a foundation,(Aramaic) corresponding (by transposition and abbreviation) to ;
H788,"Ashbel = ""a man in God: a man of Baal: fire of Bel: I will make a path""
1) second son of Benjamin","Ashbel, an Israelite",probably from the same as ; flowing;
H789,"Ashbelites = ""a man in God: a man of Baal: fire of Bel: I will make a path""
1) descendants of Ashbel",an Ashbelite (collectively) or descendant of Ashbel,patronymic from ;
H790,"Eshban = ""fire of discernment""
1) an chief of Edom","Eshban, an Idumaean",probably from the same as ; vigorous;
H791,"Ashbea = ""I shall make to swear""
1) the patriarch of a family of Judah","Asbea, an Israelite",from ; adjurer;
H792,"Eshbaal = ""a man of Baal""
1) the fourth son of Saul, also called Ishbosheth","Eshbaal (or Ishbosheth), a son of Saul",from and ; man of Baal;
H793,"1) bottom, slope, foundation, lower part",an outpouring,from an unused root meaning to pour;
H794,"1) foundation, slope",a ravine,feminine of ;
H795,"Ashdod = ""powerful""
1) a major Philistine city on the Mediterranean Sea west from Jerusalem, modern Esdud","Ashdod, a place in Palestine",from ; ravager;
H796,"Ashdodites = ""I will spoil""
1) an inhabitant of Ashdod",an Ashdodite (often collectively) or inhabitant of Asdod,patrial from ;
H797,"Ashdodites = ""I will spoil""
1) language of Ashdod",(only adverb) in the language of Ashdod,feminine of ;
H798,"Ashdoth-pisgah = ""slopes of Pisgah""
1) the mountains of Pisgah, which include Mt. Nebo","Ashdoth-Pisgah, a place east of the Jordan",from the plural of and with the article interposed; ravines of the Pisgah;
H799,"1) fiery law, fire of a law, fire was a law (meaning uncertain)",a fire-law,from and ;
H800,1) fire,fire,feminine of ;
