strongs_id,definition,short_def,etymology
H21,"Abi = ""my father""
1) mother of Hezekiah (cf H029)","Abi, Hezekiah's mother",from ; fatherly;
H22,"Abiel = ""El (God) is (my) father""
1) Saul's grandfather","Abiel, the name of two Israelites",from and ; father (i.e. possessor) of God;
H23,"Abiasaph = ""my father has gathered""
1) son (descendant) of Korah","Abiasaph, an Israelite",from and ; father of gathering (i.e. gatherer);
H24,"1) fresh, young barley ears, barley
2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)","green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan",from an unused root (meaning to be tender);
H25,"Abi Gibon = ""father of Gibeon""
1) site of great Bamah, location of the tabernacle of the Lord in the high place","Abi-Gibon, perhaps an Israelite",from and ; father (i.e. founder) of Gibon;
H26,"Abigail = ""my father is joy""
1) wife of Nabal, then of David
2) sister of David","Abigail or Abigal, the name of two Israelitesses",or shorter ; from and ; father (i.e. source) of joy;
H27,"Abidan = ""my father is judge""
1) a prince (ruler) of Benjamin","Abidan, an Israelite",from and ; father of judgment (i.e. judge);
H28,"Abida or Abidah = ""my father knows""
1) fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)","Abida, a son of Abraham by Keturah",from and ; father of knowledge (i.e. knowing);
H29,"Abia or Abiah or Abijah = ""Jehovah is (my) father""
1) king of Judah, son and successor of Rehoboam
2) second son of Samuel
3) son of Jeroboam the first, king of Israel
4) son of Becher, a Benjamite
5) head of a priestly house (one of the 24 Levite groups)
6) head of a priestly house (after the exile)
7) wife of Hezron
8) mother of Hezekiah (cf H021)","Abijah, the name of several Israelite men and two Israelitesses",or prolonged ; from and ; father (i.e. worshipper) of Jah;
H30,"Abihu = ""he is (my) father""
1) a son of Aaron destroyed for sacrificing strange fire to God","Abihu, a son of Aaron",from and ; father (i.e. worshipper) of Him (i.e. God);
H31,"Abihud = ""my father is majesty""
1) son of Bela, a Benjamite","Abihud, the name of two Israelites",from and ; father (i.e. possessor) of renown;
H32,"Abihail = ""my father is might""
1) a Levite in Moses's time
2) a Gadite
3) father of Esther
4) wife of Abishur
5) wife of Rehoboam","Abihail or Abichail, the name of three Israelites and two Israelitesses",or (more correctly) ; from and ; father (i.e. possessor) of might;
H33,"Abiezrite = ""my father is help""
1) one of the family of Abiezer, a descendant of Joseph's son, Manasseh",an Abiezrite or descendant of Abiezer,from with the article inserted; father of the Ezrite;
H34,"1) in want, needy, chiefly poor, needy person
2) subject to oppression and abuse
3) needing help, deliverance from trouble, especially as delivered by God
4) general reference to lowest class",destitute,"from , in the sense of want (especially in feeling);"
H35,1) caper-berry-of stimulating desire,provocative of desire; the caper berry (from its stimulative taste),from ;
H36,"Abitub = ""my father is good(ness)""
1) son of Shaharaim, a Benjamite","Abitub, an Israelite",from and ; father of goodness (i.e. good);
H37,"Abital = ""my father is (the) dew""
1) a wife of David","Abital, a wife of King David",from and ; father of dew (i.e. fresh);
H38,"Abijam = ""my father is the sea"" or ""Yah(u) is (my) father""
1) king of Judah, son and successor of Rehoboam","Abijam (or Abijah), a king of Judah",from and ; father of (the) sea (i.e. seaman);
H39,"Abimael = ""my father is El (God)""
1) son of Joktan, descendant of Shem","Abimael, a son of Joktan",from and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe);
H40,"Abimelech = ""Melek is father"" or ""my father is king""
1) king of Gerar in Abraham's time
2) king of Gath in David's time; maybe title of Philistine kings
3) son of Gideon by a concubine
4) priest, son of Abiathar","Abimelek, the name of two Philistine kings and of two Israelites",from and ; father of (the) king;
H41,"Abinadab = ""my father is noble"" or ""my father is willing""
1) a man of Gibeah who sheltered the ark
2) second son of Jesse, David's older brother
3) a son of Saul, slain with him by the Philistines","Abinadab, the name of four Israelites",from and ; father of generosity (i.e. liberal);
